business_id,invoice_number,status,issue_date,due_date,sent_date,paid_date,contact_name,contact_email,job_name,location,bill_to_name,bill_to_email,bill_to_address1,bill_to_address2,bill_to_city,bill_to_state,bill_to_postal_code,bill_to_country,memo,subtotal,total,revises_id
1,240016,paid,2024-03-28,2024-04-28,2024-03-28,2024-05-10,NHRA,bdoonan@nhra.com,Pomona I,"Pomona, CA",NHRA,bdoonan@nhra.com,157 Via Verde,Suite 117,San Dimas,CA,91790,US,,1549.78,1549.78,
1,240018,paid,2024-04-10,2024-05-10,2024-04-10,2024-05-20,NHRA,bdoonan@nhra.com,Phoenix,"Phoenix, AZ",NHRA,bdoonan@nhra.com,158 Via Verde,Suite 118,San Dimas,CA,91791,US,,1529.99,1529.99,
1,240019,paid,2024-04-17,2024-05-18,2024-04-17,2024-05-22,NHRA,bdoonan@nhra.com,Vegas I,"Las Vegas, NV",NHRA,bdoonan@nhra.com,159 Via Verde,Suite 119,San Dimas,CA,91792,US,,1561.87,1561.87,
1,240025,paid,2024-04-30,2024-05-30,2024-04-30,2024-06-10,NHRA,bdoonan@nhra.com,Charlotte I,"Charlotte, NC",NHRA,bdoonan@nhra.com,160 Via Verde,Suite 120,San Dimas,CA,91793,US,,3000.00,3000.00,
1,240033,paid,2024-05-20,2024-06-20,2024-05-20,2024-07-25,NHRA,bdoonan@nhra.com,Chicago,"Chicago, IL",NHRA,bdoonan@nhra.com,161 Via Verde,Suite 121,San Dimas,CA,91794,US,,3000.00,3000.00,
1,240039,paid,2024-06-11,2024-07-11,2024-06-11,2024-07-12,NHRA,bdoonan@nhra.com,Bristol,Bristol,NHRA,bdoonan@nhra.com,162 Via Verde,Suite 122,San Dimas,CA,91795,US,,3000.00,3000.00,
1,240042,paid,2024-06-24,2024-07-24,2024-06-24,2024-07-30,NHRA,bdoonan@nhra.com,Richmond,"Richmond, VA",NHRA,bdoonan@nhra.com,163 Via Verde,Suite 123,San Dimas,CA,91796,US,,3000.00,3000.00,
1,240047,paid,2024-07-02,2024-08-02,2024-07-02,2024-08-15,NHRA,bdoonan@nhra.com,Norwalk,"Norwalk, OH",NHRA,bdoonan@nhra.com,164 Via Verde,Suite 124,San Dimas,CA,91797,US,,3000.00,3000.00,
1,240049,paid,2024-07-30,2024-08-30,2024-07-30,2024-09-05,NHRA,bdoonan@nhra.com,Sonoma,"Sonoma, CA",NHRA,bdoonan@nhra.com,165 Via Verde,Suite 125,San Dimas,CA,91798,US,,3000.00,3000.00,
1,240051,paid,2024-08-21,2024-09-21,2024-08-21,2024-09-30,NHRA,bdoonan@nhra.com,Brainerd,"Brainerd, MN",NHRA,bdoonan@nhra.com,166 Via Verde,Suite 126,San Dimas,CA,91799,US,,3000.00,3000.00,
1,240052,paid,2024-09-07,2024-10-07,2024-09-07,2024-10-11,NHRA,bdoonan@nhra.com,Indy,"Indianapolis, IN",NHRA,bdoonan@nhra.com,167 Via Verde,Suite 127,San Dimas,CA,91800,US,,3000.00,3000.00,
1,240053,paid,2024-09-18,2024-10-18,2024-09-18,2024-10-22,NHRA,bdoonan@nhra.com,Reading,"Reading, PA",NHRA,bdoonan@nhra.com,168 Via Verde,Suite 128,San Dimas,CA,91801,US,,3000.00,3000.00,
1,240054,paid,2024-10-01,2024-11-01,2024-10-01,2024-11-10,NHRA,bdoonan@nhra.com,St Louis,"St. Louis, IL",NHRA,bdoonan@nhra.com,169 Via Verde,Suite 129,San Dimas,CA,91802,US,,3000.00,3000.00,
1,240055,paid,2024-10-01,2024-11-01,2024-10-01,2024-11-10,NHRA,bdoonan@nhra.com,Charlotte II,"Charlotte, NC",NHRA,bdoonan@nhra.com,170 Via Verde,Suite 130,San Dimas,CA,91803,US,,3000.00,3000.00,
1,240056,paid,2024-10-15,2024-11-14,2024-10-15,2024-11-20,NHRA,bdoonan@nhra.com,Dallas,"Dallas, TX",NHRA,bdoonan@nhra.com,171 Via Verde,Suite 131,San Dimas,CA,91804,US,,3000.00,3000.00,
1,240057,paid,2024-11-08,2024-12-08,2024-11-08,2024-12-26,NHRA,bdoonan@nhra.com,Vegas II,"Las Vegas, NV",NHRA,bdoonan@nhra.com,172 Via Verde,Suite 132,San Dimas,CA,91805,US,,3000.00,3000.00,
1,240058,paid,2024-11-20,2024-12-20,2024-11-20,2024-12-31,NHRA,bdoonan@nhra.com,Pomona II,Pomona,NHRA,bdoonan@nhra.com,173 Via Verde,Suite 133,San Dimas,CA,91806,US,,3000.00,3000.00,
1,250101,paid,2025-03-15,2025-04-12,2025-03-15,2025-05-01,NHRA,bdoonan@nhra.com,Gainesville,Gainesville,NHRA,bdoonan@nhra.com,174 Via Verde,Suite 134,San Dimas,CA,91807,US,,3250.00,3250.00,
1,250102,paid,2025-03-26,2025-04-26,2025-03-26,2025-05-01,NHRA,bdoonan@nhra.com,Phoenix,Phoenix,NHRA,bdoonan@nhra.com,175 Via Verde,Suite 135,San Dimas,CA,91808,US,,3250.00,3250.00,
1,250103,paid,2025-04-02,2025-05-02,2025-04-02,2025-05-06,NHRA,bdoonan@nhra.com,Pomona I,"Pomona, CA",NHRA,bdoonan@nhra.com,176 Via Verde,Suite 136,San Dimas,CA,91809,US,,3250.00,3250.00,
1,250104,paid,2025-04-14,2025-05-14,2025-04-14,2025-05-16,NHRA,bdoonan@nhra.com,Vegas I,Las Vegas,NHRA,bdoonan@nhra.com,177 Via Verde,Suite 137,San Dimas,CA,91810,US,,3250.00,3250.00,
1,250105,paid,2025-04-28,2025-05-28,2025-04-28,2025-05-30,NHRA,bdoonan@nhra.com,Charlotte I,Charlotte,NHRA,bdoonan@nhra.com,178 Via Verde,Suite 138,San Dimas,CA,91811,US,,4000.00,4000.00,
1,250106,paid,2025-05-19,2025-06-19,2025-05-19,2025-06-21,NHRA,bdoonan@nhra.com,Chicago,"Joliet, IL",NHRA,bdoonan@nhra.com,179 Via Verde,Suite 139,San Dimas,CA,91812,US,,3250.00,3250.00,
1,250107,paid,2025-06-01,2025-07-01,2025-06-01,2025-07-01,NHRA,bdoonan@nhra.com,Epping,"Epping, NH",NHRA,bdoonan@nhra.com,180 Via Verde,Suite 140,San Dimas,CA,91813,US,,3250.00,3250.00,
1,250108,paid,2025-06-08,2025-07-08,2025-06-08,2025-07-23,NHRA,bdoonan@nhra.com,Bristol,"Bristol, TN",NHRA,bdoonan@nhra.com,181 Via Verde,Suite 141,San Dimas,CA,91814,US,,3250.00,3250.00,
1,250109,paid,2025-06-22,2025-07-23,2025-06-22,2025-07-23,NHRA,bdoonan@nhra.com,Richmond,"Richmond, VA",NHRA,bdoonan@nhra.com,182 Via Verde,Suite 142,San Dimas,CA,91815,US,,3250.00,3250.00,
1,250110,paid,2025-06-29,2025-07-29,2025-06-29,2025-07-25,NHRA,bdoonan@nhra.com,Norwalk,"Norwalk, OH",NHRA,bdoonan@nhra.com,183 Via Verde,Suite 143,San Dimas,CA,91816,US,,4000.00,4000.00,
1,250111,paid,2025-07-20,2025-08-20,2025-07-20,2025-08-16,NHRA,bdoonan@nhra.com,Seattle,"Seattle, WA",NHRA,bdoonan@nhra.com,184 Via Verde,Suite 144,San Dimas,CA,91817,US,,3250.00,3250.00,
1,250112,paid,2025-07-27,2025-08-27,2025-07-27,2025-08-24,NHRA,bdoonan@nhra.com,Sonoma,"Sonoma, Ca",NHRA,bdoonan@nhra.com,185 Via Verde,Suite 145,San Dimas,CA,91818,US,,3250.00,3250.00,
1,250113,paid,2025-08-17,2025-09-15,2025-08-17,2025-09-16,NHRA,bdoonan@nhra.com,Brainerd,"Brainerd, MN",NHRA,bdoonan@nhra.com,186 Via Verde,Suite 146,San Dimas,CA,91819,US,,3250.00,3250.00,
1,250114,paid,2025-09-01,2025-10-01,2025-09-01,2025-10-04,NHRA,bdoonan@nhra.com,Indy,Indianapolis,NHRA,bdoonan@nhra.com,187 Via Verde,Suite 147,San Dimas,CA,91820,US,,4000.00,4000.00,
1,250115,paid,2025-09-14,2025-10-14,2025-09-14,2025-10-11,NHRA,bdoonan@nhra.com,Reading,"Reading, PA",NHRA,bdoonan@nhra.com,188 Via Verde,Suite 148,San Dimas,CA,91821,US,,3250.00,3250.00,
1,250116,paid,2025-09-21,2025-10-21,2025-09-21,2025-10-18,NHRA,bdoonan@nhra.com,Charlotte II,"Charlotte, NC",NHRA,bdoonan@nhra.com,189 Via Verde,Suite 149,San Dimas,CA,91822,US,,3250.00,3250.00,
1,250117,paid,2025-09-28,2025-10-28,2025-09-28,2025-10-25,NHRA,bdoonan@nhra.com,St Louis,"St Louis, MO",NHRA,bdoonan@nhra.com,190 Via Verde,Suite 150,San Dimas,CA,91823,US,,4000.00,4000.00,
1,250118,paid,2025-10-12,2025-11-10,2025-10-12,2025-11-08,NHRA,bdoonan@nhra.com,Dallas,"Dallas, TX",NHRA,bdoonan@nhra.com,191 Via Verde,Suite 151,San Dimas,CA,91824,US,,3250.00,3250.00,
1,250119,paid,2025-11-02,2025-12-04,2025-11-02,2025-11-29,NHRA,bdoonan@nhra.com,Vegas II,NHRA Nevada Nationals,NHRA,bdoonan@nhra.com,192 Via Verde,Suite 152,San Dimas,CA,91825,US,,4400.00,4400.00,
1,250120,paid,2025-11-17,2025-12-17,2025-11-17,2025-12-13,NHRA,bdoonan@nhra.com,Pomona II,"Pomona, CA",NHRA,bdoonan@nhra.com,193 Via Verde,Suite 153,San Dimas,CA,91826,US,,3250.00,3250.00,
